,nodes count,HW Availability class,HW Availability,SW Availability class,failure function,Overall availability
5080,114,6,3.9431196860665714,6,identity,3.642114444494949
5081,114,6,3.9431196860665714,6,n,3.9393269123734327
5082,114,6,3.9431196860665714,6,square_root_n,3.904240222764437
5083,114,6,3.9431196860665714,6,n_squared,3.943086271662489
5084,114,6,3.9431196860665714,6,n_log_n,3.941271625267522
5085,115,4,1.9417753687761898,4,identity,1.6432355111422834
5086,115,4,1.9417753687761898,4,n,1.9380367093983095
5087,115,4,1.9417753687761898,4,square_root_n,1.9032864316273743
5088,115,4,1.9417753687761898,4,n_squared,1.9417427179545257
5089,115,4,1.9417753687761898,4,n_log_n,1.9399570331648888
5090,115,4,1.9417753687761898,5,identity,1.9006336783126845
5091,115,4,1.9417753687761898,5,n,1.9414000679396988
5092,115,4,1.9417753687761898,5,square_root_n,1.9377677218456677
5093,115,4,1.9417753687761898,5,n_squared,1.9417721038764808
5094,115,4,1.9417753687761898,5,n_log_n,1.9415932046212006
5095,115,4,1.9417753687761898,6,identity,1.937479131685158
5096,115,4,1.9417753687761898,6,n,1.9417378242624137
5097,115,4,1.9417753687761898,6,square_root_n,1.9413729198157736
5098,115,4,1.9417753687761898,6,n_squared,1.9417750422881703
5099,115,4,1.9417753687761898,6,n_log_n,1.9417571490453658
5100,115,5,2.939549684810912,4,identity,1.900633678313118
5101,115,5,2.939549684810912,4,n,2.9033559388481547
5102,115,5,2.939549684810912,4,square_root_n,2.653642990089666
5103,115,5,2.939549684810912,4,n_squared,2.939221577515056
5104,115,5,2.939549684810912,4,n_log_n,2.921608481928571
5105,115,5,2.939549684810912,5,identity,2.6387693379276036
5106,115,5,2.939549684810912,5,n,2.935791688457225
5107,115,5,2.939549684810912,5,square_root_n,2.900853121829943
5108,115,5,2.939549684810912,5,n_squared,2.9395168658687236
5109,115,5,2.939549684810912,5,n_log_n,2.937721966174457
5110,115,5,2.939549684810912,6,identity,2.8981821442373197
5111,115,5,2.939549684810912,6,n,2.9391724201534792
5112,115,5,2.939549684810912,6,square_root_n,2.9355209781133302
5113,115,5,2.939549684810912,6,n_squared,2.9395464028357954
5114,115,5,2.939549684810912,6,n_log_n,2.9393665676629053
5115,115,6,3.9393269141923417,4,identity,1.9374791316856297
5116,115,6,3.9393269141923417,4,n,3.6675879984481163
5117,115,6,3.9393269141923417,4,square_root_n,2.9256304925462953
5118,115,6,3.9393269141923417,4,n_squared,3.9360552417567503
5119,115,6,3.9393269141923417,4,n_log_n,3.7864323612997577
5120,115,6,3.9393269141923417,5,identity,2.8981821442373197
5121,115,6,3.9393269141923417,5,n,3.9031165844383824
5122,115,6,3.9393269141923417,5,square_root_n,3.653227723873631
5123,115,6,3.9393269141923417,5,n_squared,3.9389986650649176
5124,115,6,3.9393269141923417,5,n_log_n,3.9213777287421085
5125,115,6,3.9393269141923417,6,identity,3.6383218897555407
5126,115,6,3.9393269141923417,6,n,3.9355669806266045
5127,115,6,3.9393269141923417,6,square_root_n,3.9006095489294563
5128,115,6,3.9393269141923417,6,n_squared,3.939294078420187
5129,115,6,3.9393269141923417,6,n_log_n,3.9374982555031925
5130,116,4,1.9380368939078523,4,identity,1.6395186266701727
5131,116,4,1.9380368939078523,4,n,1.9343305120948735
5132,116,4,1.9380368939078523,4,square_root_n,1.8997090137195187
5133,116,4,1.9380368939078523,4,n_squared,1.9380048051910106
5134,116,4,1.9380368939078523,4,n_log_n,1.9362375675767936
5135,116,4,1.9380368939078523,5,identity,1.8968973661490178
5136,116,4,1.9380368939078523,5,n,1.937664845669036
5137,116,4,1.9380368939078523,5,square_root_n,1.934046679330377
5138,116,4,1.9380368939078523,5,n_squared,1.938033685216707
5139,116,4,1.9380368939078523,5,n_log_n,1.937856637696928
5140,116,4,1.9380368939078523,6,identity,1.9337408731239358
5141,116,4,1.9380368939078523,6,n,1.9379996749039208
5142,116,4,1.9380368939078523,6,square_root_n,1.9376362026695608
5143,116,4,1.9380368939078523,6,n_squared,1.9380365730407256
5144,116,4,1.9380368939078523,6,n_log_n,1.9380188650418473
5145,116,5,2.9357917070028816,4,identity,1.8968973661494553
5146,116,5,2.9357917070028816,4,n,2.899897603720879
5147,116,5,2.9357917070028816,4,square_root_n,2.650792249228615
5148,116,5,2.9357917070028816,4,n_squared,2.935469231859353
5149,116,5,2.9357917070028816,4,n_log_n,2.918033879274038
5150,116,5,2.9357917070028816,5,identity,2.6350135303488114
5151,116,5,2.9357917070028816,5,n,2.9320659871531216
5152,116,5,2.9357917070028816,5,square_root_n,2.8972552923046018
5153,116,5,2.9357917070028816,5,n_squared,2.93575945159863
5154,116,5,2.9357917070028816,5,n_log_n,2.933983014220251
5155,116,5,2.9357917070028816,6,identity,2.894424383488859
5156,116,5,2.9357917070028816,6,n,2.9354176950917803
5157,116,5,2.9357917070028816,6,square_root_n,2.9317803429519183
5158,116,5,2.9357917070028816,6,n_squared,2.9357884813853437
5159,116,5,2.9357917070028816,6,n_log_n,2.9356104996085763
5160,116,6,3.9355669824622574,4,identity,1.933740873124412
5161,116,6,3.9355669824622574,4,n,3.665573016271483
5162,116,6,3.9355669824622574,4,square_root_n,2.9235692080432316
5163,116,6,3.9355669824622574,4,n_squared,3.932351269139669
5164,116,6,3.9355669824622574,4,n_log_n,3.784018319287032
5165,116,6,3.9355669824622574,5,identity,2.894424383488859
5166,116,6,3.9355669824622574,5,n,3.899656272031787
5167,116,6,3.9355669824622574,5,square_root_n,3.650374086185439
5168,116,6,3.9355669824622574,5,n_squared,3.935244366404433
5169,116,6,3.9355669824622574,5,n_log_n,3.9178011745383383
5170,116,6,3.9355669824622574,6,identity,3.6345621751603363
5171,116,6,3.9355669824622574,6,n,3.931839325218773
5172,116,6,3.9355669824622574,6,square_root_n,3.8970096741429665
5173,116,6,3.9355669824622574,6,n_squared,3.935534710377126
